scale,absort.x,test,test_name,domain,subdomain,narrow,pass,verbal,timed,test_type,score_type,description,absort.y,scale_description,primary_function
Attention Index (ATT),nab_01,nab,NAB,Attention/Executive,Attention,Attention Index,NA,NA,NA,npsych_test,standard_score,An overall measure of the examinee's attentional functioning,NA,,
Language Index (LAN),nab_02,nab,NAB,Verbal/Language,Language,Language Index,NA,NA,NA,npsych_test,standard_score,"A composite language measure of the patient's ability to access and apply acquired word knowledge, to verbalize meaningful concepts, think about verbal information, and express themself using words fell in the Average classification range.",NA,,
Memory Index (MEM),nab_03,nab,NAB,Memory,Memory,Memory Index,NA,NA,NA,npsych_test,standard_score,A composite measure of the examinee's verbal and visual memory functioning,NA,,
Spatial Index (SPT),nab_04,nab,NAB,Visual Perception/Construction,Spatial,Visuospatial Index,Simultaneous,Nonverbal,NA,npsych_test,standard_score,"A composite screening measure of visuoperceptual skills, attention to detail, and visuoconstructional skills",NA,,
Executive Functions Index (EXE),nab_05,nab,NAB,Attention/Executive,Executive,Executive Index,NA,NA,NA,npsych_test,standard_score,"A composite measure of executive skills involving planning, inhibition, speed/fluency, and generativity",NA,,
Total NAB Index (T-NAB),nab_06,nab,NAB,General Cognitive Ability,Neurocognition,Neurocognitive Index,NA,NA,NA,npsych_test,standard_score,"An omnibus measure of neuropsychological functioning (independent of general intelligence) in the domains of attentional and executive functioning, language processing, visuospatial processing, and learning and memory",NA,,
Orientation,nab_07,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,percentile,"Orientation to person, place, time, and situation",NA,"ORN Questions about orientation to self, time, place, and situation",Orientation
Orientation to Self,nab_08,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Self,NA,"ORN Questions about orientation to self, time, place, and situation",Orientation
Orientation to Time,nab_09,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Time,NA,"ORN Questions about orientation to self, time, place, and situation",Orientation
Orientation to Place,nab_10,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Place,NA,"ORN Questions about orientation to self, time, place, and situation",Orientation
Orientation to Situation,nab_11,nab,NAB,Attention/Executive,Attention,Orientation,Attention,Verbal,Untimed,npsych_test,base_rate,Orientation to Situation,NA,"ORN Questions about orientation to self, time, place, and situation",Orientation
Digits Forward,nab_12,nab,NAB,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,t_score,"Auditory attentional capacity, or how much information can be processed at once",NA,DGF Repetition of orally presented digits,Auditory attentional capacity
Digits Forward Longest Span,nab_13,nab,NAB,Attention/Executive,Attention,Attention Span,Attention,Verbal,Untimed,npsych_test,raw_score,Auditory attentional capacity,NA,DGF Repetition of orally presented digits,Auditory attentional capacity
